timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-03 23:14:13.288,run_365,0.0,40632320,3320111416,,,1
2025-09-03 23:14:13.387,run_365,0.0,40632320,4233359134,,,1
2025-09-03 23:14:13.488,run_365,19.9,40632320,3211907880,,,1
2025-09-03 23:14:13.582,run_365,0.0,40632320,4980809469,,,1
2025-09-03 23:14:13.690,run_365,0.0,40632320,3701634390,,,1
2025-09-03 23:14:13.788,run_365,20.0,40632320,4271091904,,,1
2025-09-03 23:14:13.887,run_365,0.0,40632320,3496771603,,,1
2025-09-03 23:14:13.989,run_365,0.0,40632320,3445488654,,,1
2025-09-03 23:14:14.084,run_365,0.0,40632320,3768561184,,,1
2025-09-03 23:14:14.186,run_365,20.0,40632320,3532724598,,,1
2025-09-03 23:14:14.285,run_365,0.0,40632320,4277912673,,,1
2025-09-03 23:14:14.394,run_365,20.0,40632320,7671028260,,,1
2025-09-03 23:14:14.494,run_365,0.0,40632320,6784073235,,,1
2025-09-03 23:14:14.589,run_365,0.0,40632320,6370488608,,,1
2025-09-03 23:14:14.690,run_365,0.0,40632320,5548169478,,,1
2025-09-03 23:14:14.797,run_365,20.0,40632320,7343514720,,,1
2025-09-03 23:14:14.902,run_365,0.0,40632320,5330048544,,,1
2025-09-03 23:14:15.003,run_365,0.0,40632320,5810700022,,,1
2025-09-03 23:14:15.107,run_365,0.0,40632320,5944871595,,,1
2025-09-03 23:14:15.199,run_365,0.0,40632320,6574014346,,,1
2025-09-03 23:14:15.312,run_365,0.0,40632320,6766497299,,,1
2025-09-03 23:14:15.404,run_365,0.0,40632320,4640651900,,,1
2025-09-03 23:14:15.502,run_365,20.0,40632320,6014258020,,,1
2025-09-03 23:14:15.604,run_365,0.0,40632320,4787080740,,,1
2025-09-03 23:14:15.713,run_365,0.0,40632320,5158481445,,,1
2025-09-03 23:14:15.801,run_365,0.0,40632320,6009457216,,,1
2025-09-03 23:14:15.912,run_365,0.0,41451520,7156439980,,,1
2025-09-03 23:14:16.005,run_365,0.0,41451520,6734017313,,,1
2025-09-03 23:14:16.104,run_365,0.0,41451520,5546713490,,,1
2025-09-03 23:14:16.196,run_365,20.0,41451520,5538824909,,,1
2025-09-03 23:14:16.304,run_365,0.0,41451520,6280901282,,,1
2025-09-03 23:14:16.403,run_365,20.0,41451520,5055602800,,,1
2025-09-03 23:14:16.495,run_365,0.0,41451520,6421691499,,,1
2025-09-03 23:14:16.604,run_365,0.0,41451520,5981042543,,,1
2025-09-03 23:14:16.710,run_365,20.0,41451520,5697576639,,,1
2025-09-03 23:14:16.801,run_365,20.0,41451520,6089272296,,,1
2025-09-03 23:14:16.904,run_365,0.0,41451520,7485264696,,,1
2025-09-03 23:14:16.999,run_365,0.0,41451520,6690450007,,,1
2025-09-03 23:14:17.104,run_365,0.0,41451520,6947540344,,,1
2025-09-03 23:14:17.203,run_365,20.0,41451520,4735262655,,,1
2025-09-03 23:14:17.302,run_365,0.0,41451520,5797242517,,,1
2025-09-03 23:14:17.401,run_365,39.9,41451520,5147072886,,,1
2025-09-03 23:14:17.497,run_365,0.0,41451520,5898503519,,,1
2025-09-03 23:14:17.601,run_365,0.0,41451520,7022085840,,,1
2025-09-03 23:14:17.713,run_365,0.0,41451520,5600513392,,,1
2025-09-03 23:14:17.804,run_365,20.0,41451520,7005415026,,,1
2025-09-03 23:14:17.910,run_365,20.0,41451520,6915329035,,,1
2025-09-03 23:14:18.006,run_365,20.0,41451520,5841950369,,,1
2025-09-03 23:14:18.107,run_365,20.0,41451520,8016066342,,,1
2025-09-03 23:14:18.197,run_365,0.0,41451520,7555039047,,,1
2025-09-03 23:14:18.296,run_365,0.0,41451520,8182577843,,,1
2025-09-03 23:14:18.403,run_365,20.0,41451520,6113080571,,,1
2025-09-03 23:14:18.499,run_365,20.0,41451520,7976197357,,,1
2025-09-03 23:14:18.606,run_365,19.9,41451520,6657851420,,,1
2025-09-03 23:14:18.694,run_365,0.0,41451520,5377897910,,,1
2025-09-03 23:14:18.798,run_365,0.0,41451520,7079048242,,,1
2025-09-03 23:14:18.906,run_365,0.0,41451520,6608095734,,,1
2025-09-03 23:14:19.016,run_365,20.0,41451520,6746977392,,,1
2025-09-03 23:14:19.100,run_365,20.0,41451520,8415870736,,,1
2025-09-03 23:14:19.202,run_365,20.0,41451520,6664656037,,,1
2025-09-03 23:14:19.295,run_365,0.0,41451520,6488382712,,,1
2025-09-03 23:14:19.407,run_365,0.0,41451520,6165817202,,,1
2025-09-03 23:14:19.498,run_365,20.0,41451520,7183141465,,,1
2025-09-03 23:14:19.606,run_365,20.0,41451520,5982492341,,,1
2025-09-03 23:14:19.723,run_365,20.0,41451520,7952046411,,,1
2025-09-03 23:14:19.814,run_365,20.0,41451520,7664979999,,,1
2025-09-03 23:14:19.911,run_365,39.9,41451520,7110507679,,,1
2025-09-03 23:14:20.014,run_365,20.0,41451520,7539171796,,,1
2025-09-03 23:14:20.121,run_365,19.9,41451520,7378601490,,,1
2025-09-03 23:14:20.215,run_365,0.0,41451520,6217714012,,,1
2025-09-03 23:14:20.315,run_365,0.0,41451520,7681316572,,,1
2025-09-03 23:14:20.415,run_365,20.0,41451520,8244039437,,,1
2025-09-03 23:14:20.515,run_365,0.0,41451520,7180549686,,,1
2025-09-03 23:14:20.616,run_365,0.0,41451520,7195070225,,,1
2025-09-03 23:14:20.711,run_365,0.0,41451520,7569959138,,,1
2025-09-03 23:14:20.810,run_365,20.0,41451520,5852965046,,,1
2025-09-03 23:14:20.921,run_365,19.9,41451520,8402049720,,,1
