timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-07 13:53:02.418,run_328,19.9,40304640,2697292143,,,1
2025-09-07 13:53:02.515,run_328,0.0,40304640,2575997765,,,1
2025-09-07 13:53:02.615,run_328,0.0,40304640,2697382353,,,1
2025-09-07 13:53:02.715,run_328,0.0,40304640,2597194400,,,1
2025-09-07 13:53:02.815,run_328,20.0,40304640,2694308953,,,1
2025-09-07 13:53:02.925,run_328,0.0,40304640,2774188262,,,1
2025-09-07 13:53:03.016,run_328,0.0,40304640,3010528346,,,1
2025-09-07 13:53:03.117,run_328,0.0,40304640,2686367376,,,1
2025-09-07 13:53:03.216,run_328,0.0,40304640,2316401451,,,1
2025-09-07 13:53:03.316,run_328,20.0,40304640,3387711689,,,1
2025-09-07 13:53:03.416,run_328,0.0,40304640,2742092000,,,1
2025-09-07 13:53:03.531,run_328,0.0,40304640,3569923120,,,1
2025-09-07 13:53:03.634,run_328,20.0,40304640,3731462300,,,1
2025-09-07 13:53:03.735,run_328,0.0,40304640,3712876900,,,1
2025-09-07 13:53:03.832,run_328,0.0,40304640,3788076200,,,1
2025-09-07 13:53:03.937,run_328,0.0,40468480,3009236997,,,1
2025-09-07 13:53:04.033,run_328,20.0,40468480,3417203499,,,1
2025-09-07 13:53:04.136,run_328,0.0,40468480,3777998851,,,1
2025-09-07 13:53:04.238,run_328,0.0,40468480,3594200965,,,1
2025-09-07 13:53:04.332,run_328,0.0,40468480,3951972855,,,1
2025-09-07 13:53:04.433,run_328,0.0,40468480,3642396364,,,1
2025-09-07 13:53:04.536,run_328,0.0,40468480,3212999659,,,1
2025-09-07 13:53:04.633,run_328,0.0,40468480,3640940316,,,1
2025-09-07 13:53:04.735,run_328,0.0,40468480,3758671384,,,1
2025-09-07 13:53:04.834,run_328,0.0,40468480,3863116635,,,1
2025-09-07 13:53:04.934,run_328,0.0,41615360,3939339850,,,1
2025-09-07 13:53:05.034,run_328,0.0,41615360,4106384986,,,1
2025-09-07 13:53:05.136,run_328,20.0,41615360,3779037663,,,1
2025-09-07 13:53:05.234,run_328,0.0,41615360,3785930603,,,1
2025-09-07 13:53:05.334,run_328,20.0,41615360,4331264022,,,1
2025-09-07 13:53:05.435,run_328,0.0,41615360,3950249634,,,1
2025-09-07 13:53:05.535,run_328,0.0,41615360,3582081987,,,1
2025-09-07 13:53:05.637,run_328,0.0,41615360,3506310583,,,1
2025-09-07 13:53:05.737,run_328,0.0,41615360,3870435799,,,1
2025-09-07 13:53:05.835,run_328,0.0,41615360,3633850733,,,1
2025-09-07 13:53:05.940,run_328,0.0,41615360,3683811778,,,1
2025-09-07 13:53:06.038,run_328,20.0,41779200,3738442175,,,1
2025-09-07 13:53:06.135,run_328,0.0,41779200,4229227665,,,1
2025-09-07 13:53:06.237,run_328,20.0,41779200,3528382877,,,1
2025-09-07 13:53:06.336,run_328,0.0,41779200,3983083505,,,1
2025-09-07 13:53:06.439,run_328,20.0,41779200,3704063807,,,1
2025-09-07 13:53:06.537,run_328,0.0,41779200,3983198707,,,1
2025-09-07 13:53:06.633,run_328,20.0,41779200,3622428743,,,1
2025-09-07 13:53:06.739,run_328,0.0,41779200,3285960129,,,1
2025-09-07 13:53:06.838,run_328,0.0,41779200,3838173475,,,1
