__run_id,__done,round,configuration,position_goal,number_obstacles
run_74,DONE,1,17,2,0
run_75,DONE,1,17,2,2
run_76,DONE,1,18,2,0
run_77,DONE,1,18,2,2
run_78,DONE,1,19,2,0
run_79,DONE,1,19,2,2
run_80,DONE,2,0,2,0
run_81,DONE,2,0,2,2
run_82,DONE,2,1,2,0
run_83,DONE,2,1,2,2
run_84,DONE,2,2,2,0
run_85,DONE,2,2,2,2
run_86,DONE,2,3,2,0
run_87,DONE,2,3,2,2
run_88,DONE,2,4,2,0
run_89,DONE,2,4,2,2
run_90,DONE,2,5,2,0
run_91,DONE,2,5,2,2
run_92,DONE,2,6,2,0
run_93,DONE,2,6,2,2
run_94,DONE,2,7,2,0
run_95,DONE,2,7,2,2
run_96,DONE,2,8,2,0
run_97,DONE,2,8,2,2
run_98,DONE,2,9,2,0
run_99,DONE,2,9,2,2
run_100,DONE,2,10,2,0
run_101,DONE,2,10,2,2
run_102,DONE,2,11,2,0
run_103,DONE,2,11,2,2
run_104,DONE,2,12,2,0
run_105,DONE,2,12,2,2
run_106,DONE,2,13,2,0
run_107,DONE,2,13,2,2
run_108,DONE,2,14,2,0
run_109,DONE,2,14,2,2
run_110,DONE,2,15,2,0
run_111,DONE,2,15,2,2
run_112,DONE,2,16,2,0
run_113,DONE,2,16,2,2
run_114,DONE,2,17,2,0
run_115,DONE,2,17,2,2
run_116,DONE,2,18,2,0
run_117,DONE,2,18,2,2
run_118,DONE,2,19,2,0
run_119,DONE,2,19,2,2
run_120,DONE,3,0,2,0
run_121,DONE,3,0,2,2
run_122,DONE,3,1,2,0
run_123,DONE,3,1,2,2
run_124,DONE,3,2,2,0
run_125,DONE,3,2,2,2
run_126,DONE,3,3,2,0
run_127,DONE,3,3,2,2
run_128,DONE,3,4,2,0
run_129,DONE,3,4,2,2
run_130,DONE,3,5,2,0
run_131,DONE,3,5,2,2
run_132,DONE,3,6,2,0
run_133,DONE,3,6,2,2
run_134,DONE,3,7,2,0
run_135,DONE,3,7,2,2
run_136,DONE,3,8,2,0
run_137,DONE,3,8,2,2
run_138,DONE,3,9,2,0
run_139,DONE,3,9,2,2
run_140,DONE,3,10,2,0
run_141,DONE,3,10,2,2
run_142,DONE,3,11,2,0
run_143,DONE,3,11,2,2
run_144,DONE,3,12,2,0
run_145,DONE,3,12,2,2
run_146,DONE,3,13,2,0
run_147,DONE,3,13,2,2
run_148,DONE,3,14,2,0
run_149,DONE,3,14,2,2
run_150,DONE,3,15,2,0
run_151,DONE,3,15,2,2
run_152,DONE,3,16,2,0
run_153,DONE,3,16,2,2
run_154,DONE,3,17,2,0
run_155,DONE,3,17,2,2
