run,cpu_percentage,memory_usage
2025-08-10 12:42:47.653,0.0,54611968
2025-08-10 12:42:48.073,0.0,54611968
2025-08-10 12:42:48.488,0.0,54611968
2025-08-10 12:42:48.911,0.0,54611968
2025-08-10 12:42:49.327,0.0,54611968
2025-08-10 12:42:49.747,0.0,54611968
2025-08-10 12:42:50.173,0.0,54611968
2025-08-10 12:42:50.639,0.0,54611968
2025-08-10 12:42:51.059,0.0,54611968
2025-08-10 12:42:51.478,0.0,54611968
2025-08-10 12:42:51.895,0.0,54611968
2025-08-10 12:42:52.311,0.0,54611968
2025-08-10 12:42:52.727,0.0,54611968
2025-08-10 12:42:53.142,0.0,54611968
2025-08-10 12:42:53.562,0.0,54611968
2025-08-10 12:42:53.982,0.0,54611968
2025-08-10 12:42:54.399,0.0,54611968
2025-08-10 12:42:54.816,0.0,54611968
2025-08-10 12:42:55.256,0.0,54611968
2025-08-10 12:42:55.673,0.0,54611968
2025-08-10 12:42:56.089,0.0,54611968
2025-08-10 12:42:56.507,0.0,54611968
2025-08-10 12:42:56.923,0.0,54611968
2025-08-10 12:42:57.348,0.0,54611968
2025-08-10 12:42:57.783,0.0,54611968
2025-08-10 12:42:58.209,0.0,54611968
2025-08-10 12:42:58.625,0.0,54611968
2025-08-10 12:42:59.041,0.0,54611968
2025-08-10 12:42:59.458,0.0,54611968
2025-08-10 12:42:59.876,0.0,54611968
2025-08-10 12:43:00.293,0.0,54611968
2025-08-10 12:43:00.729,10.0,54611968
2025-08-10 12:43:01.145,0.0,54611968
2025-08-10 12:43:01.562,0.0,54611968
2025-08-10 12:43:01.978,0.0,54611968
2025-08-10 12:43:02.394,0.0,54611968
2025-08-10 12:43:02.811,0.0,54611968
2025-08-10 12:43:03.228,0.0,54611968
2025-08-10 12:43:03.643,0.0,54611968
2025-08-10 12:43:04.059,0.0,54611968
2025-08-10 12:43:04.478,0.0,54611968
2025-08-10 12:43:04.897,0.0,54611968
2025-08-10 12:43:05.320,0.0,54611968
2025-08-10 12:43:05.735,0.0,54611968
2025-08-10 12:43:06.186,0.0,54611968
2025-08-10 12:43:06.602,0.0,54611968
2025-08-10 12:43:07.018,0.0,54611968
2025-08-10 12:43:07.433,0.0,54611968
2025-08-10 12:43:07.850,0.0,54611968
2025-08-10 12:43:08.270,0.0,54611968
2025-08-10 12:43:08.686,0.0,54611968
2025-08-10 12:43:09.103,0.0,54611968
2025-08-10 12:43:09.519,0.0,54611968
2025-08-10 12:43:09.936,0.0,54611968
2025-08-10 12:43:10.356,0.0,54611968
2025-08-10 12:43:10.774,0.0,54611968
2025-08-10 12:43:11.189,0.0,54611968
2025-08-10 12:43:11.604,0.0,54611968
2025-08-10 12:43:12.019,0.0,54611968
2025-08-10 12:43:12.436,0.0,54611968
2025-08-10 12:43:12.854,0.0,54611968
2025-08-10 12:43:13.271,0.0,54611968
2025-08-10 12:43:13.686,0.0,54611968
2025-08-10 12:43:14.106,0.0,54611968
2025-08-10 12:43:14.535,0.0,54611968
2025-08-10 12:43:14.962,0.0,54611968
2025-08-10 12:43:15.381,0.0,54611968
2025-08-10 12:43:15.801,0.0,54611968
2025-08-10 12:43:16.218,0.0,54611968
2025-08-10 12:43:16.669,0.0,54611968
2025-08-10 12:43:17.089,0.0,54611968
2025-08-10 12:43:17.506,0.0,54611968
2025-08-10 12:43:17.923,0.0,54611968
2025-08-10 12:43:18.341,0.0,54611968
2025-08-10 12:43:18.759,0.0,54611968
2025-08-10 12:43:19.180,0.0,54611968
2025-08-10 12:43:19.601,0.0,54611968
2025-08-10 12:43:20.016,0.0,54611968
2025-08-10 12:43:20.432,0.0,54611968
2025-08-10 12:43:20.850,0.0,54611968
2025-08-10 12:43:21.272,0.0,54611968
2025-08-10 12:43:21.716,0.0,54611968
2025-08-10 12:43:22.133,0.0,54611968
2025-08-10 12:43:22.550,0.0,54611968
2025-08-10 12:43:22.970,0.0,54611968
2025-08-10 12:43:23.386,0.0,54611968
2025-08-10 12:43:23.803,0.0,54611968
2025-08-10 12:43:24.221,0.0,54611968
2025-08-10 12:43:24.641,10.0,54611968
2025-08-10 12:43:25.059,0.0,54611968
2025-08-10 12:43:25.481,0.0,54611968
2025-08-10 12:43:25.897,0.0,54611968
2025-08-10 12:43:26.315,0.0,54611968
2025-08-10 12:43:26.731,0.0,54611968
2025-08-10 12:43:27.149,0.0,54611968
2025-08-10 12:43:27.586,0.0,54611968
2025-08-10 12:43:28.002,0.0,54611968
2025-08-10 12:43:28.417,0.0,54611968
2025-08-10 12:43:28.833,0.0,54611968
2025-08-10 12:43:29.250,0.0,54611968
