timestamp,cpu_percentage,memory_rss_bytes,cpu_cycles_est,pj_power_w,pj_energy_j,pj_active
2025-09-09 09:26:31.727,run_713,20.0,40468480,3061324679,,,1
2025-09-09 09:26:31.828,run_713,0.0,40468480,3664953338,,,1
2025-09-09 09:26:31.925,run_713,0.0,40468480,2904767979,,,1
2025-09-09 09:26:32.026,run_713,0.0,40468480,3134003464,,,1
2025-09-09 09:26:32.125,run_713,0.0,40468480,2958327814,,,1
2025-09-09 09:26:32.225,run_713,0.0,40468480,3108967871,,,1
2025-09-09 09:26:32.325,run_713,20.0,40468480,3004439148,,,1
2025-09-09 09:26:32.426,run_713,0.0,40468480,3262856472,,,1
2025-09-09 09:26:32.526,run_713,0.0,40468480,3280587605,,,1
2025-09-09 09:26:32.628,run_713,0.0,40468480,4080217219,,,1
2025-09-09 09:26:32.726,run_713,0.0,40468480,3140807477,,,1
2025-09-09 09:26:32.849,run_713,0.0,40468480,4072005322,,,1
2025-09-09 09:26:32.943,run_713,20.0,40468480,4004562760,,,1
2025-09-09 09:26:33.044,run_713,0.0,40468480,3863979405,,,1
2025-09-09 09:26:33.144,run_713,0.0,40468480,3906861145,,,1
2025-09-09 09:26:33.253,run_713,59.9,40632320,3965316378,,,1
2025-09-09 09:26:33.345,run_713,0.0,40632320,4305071034,,,1
2025-09-09 09:26:33.448,run_713,20.0,41615360,3929122142,,,1
2025-09-09 09:26:33.547,run_713,0.0,41615360,3810180022,,,1
2025-09-09 09:26:33.646,run_713,0.0,41615360,3624632454,,,1
2025-09-09 09:26:33.744,run_713,0.0,41615360,3621104955,,,1
2025-09-09 09:26:33.844,run_713,20.0,41779200,4111086960,,,1
2025-09-09 09:26:33.943,run_713,0.0,41779200,2874905508,,,1
2025-09-09 09:26:34.046,run_713,20.0,41779200,4090330296,,,1
2025-09-09 09:26:34.148,run_713,0.0,41779200,3667269060,,,1
2025-09-09 09:26:34.245,run_713,0.0,41779200,4236297000,,,1
2025-09-09 09:26:34.347,run_713,20.0,41779200,3906230839,,,1
2025-09-09 09:26:34.444,run_713,20.0,41779200,4528889766,,,1
2025-09-09 09:26:34.544,run_713,20.0,41779200,4126159954,,,1
2025-09-09 09:26:34.648,run_713,0.0,41779200,4726695374,,,1
2025-09-09 09:26:34.745,run_713,0.0,41779200,3653748937,,,1
2025-09-09 09:26:34.846,run_713,39.9,41779200,3781006090,,,1
2025-09-09 09:26:34.945,run_713,0.0,41779200,3706282592,,,1
2025-09-09 09:26:35.047,run_713,20.0,41779200,4156991168,,,1
2025-09-09 09:26:35.152,run_713,0.0,41779200,4406624649,,,1
2025-09-09 09:26:35.246,run_713,0.0,41779200,3869609904,,,1
2025-09-09 09:26:35.348,run_713,0.0,41779200,4250631839,,,1
2025-09-09 09:26:35.448,run_713,0.0,41779200,4433815100,,,1
2025-09-09 09:26:35.547,run_713,20.0,41779200,3789637888,,,1
2025-09-09 09:26:35.648,run_713,20.0,41779200,3831671579,,,1
2025-09-09 09:26:35.746,run_713,0.0,41779200,3813336186,,,1
2025-09-09 09:26:35.849,run_713,20.0,41779200,4110675954,,,1
2025-09-09 09:26:35.945,run_713,20.0,41779200,4287181862,,,1
2025-09-09 09:26:36.046,run_713,0.0,41779200,3595449340,,,1
2025-09-09 09:26:36.146,run_713,39.9,41779200,4332668484,,,1
2025-09-09 09:26:36.248,run_713,0.0,41779200,5324705796,,,1
2025-09-09 09:26:36.347,run_713,20.0,41779200,4620279721,,,1
2025-09-09 09:26:36.452,run_713,20.0,41779200,3856717119,,,1
2025-09-09 09:26:36.545,run_713,0.0,41779200,4513956473,,,1
2025-09-09 09:26:36.647,run_713,0.0,41779200,5367008925,,,1
2025-09-09 09:26:36.745,run_713,20.0,41779200,4491890760,,,1
2025-09-09 09:26:36.852,run_713,0.0,41779200,4326100030,,,1
2025-09-09 09:26:36.950,run_713,0.0,41779200,3965241832,,,1
2025-09-09 09:26:37.048,run_713,20.0,41779200,4354340185,,,1
2025-09-09 09:26:37.151,run_713,0.0,41779200,4058639669,,,1
2025-09-09 09:26:37.254,run_713,20.0,41779200,4855250757,,,1
2025-09-09 09:26:37.349,run_713,0.0,41779200,4504644360,,,1
2025-09-09 09:26:37.446,run_713,0.0,41779200,4789263816,,,1
2025-09-09 09:26:37.548,run_713,0.0,41779200,4665481140,,,1
2025-09-09 09:26:37.650,run_713,39.9,41779200,4822051657,,,1
2025-09-09 09:26:37.749,run_713,0.0,41779200,4226358191,,,1
2025-09-09 09:26:37.846,run_713,20.0,41779200,4557728227,,,1
