Date,CPU Utilization,Total Power,CPU Power,GPU Power
2025-09-02 05:56:05,0.09721518987342,19.99471699999791,0.08471699999791,19.91000000000000
2025-09-02 05:56:06,0.09879032258065,19.93587699999771,0.08587699999771,19.85000000000000
2025-09-02 05:56:07,0.12082262210797,19.68630300000368,0.08630300000368,19.60000000000000
2025-09-02 05:56:08,0.11416921508665,19.61679100000154,0.08679100000154,19.53000000000000
2025-09-02 05:56:09,0.11139369277721,19.48788999999524,0.08788999999524,19.40000000000000
2025-09-02 05:56:10,0.12075088787418,19.42813500000542,0.08813500000542,19.34000000000000
2025-09-02 05:56:11,0.12368024132730,18.59721899999364,0.08721899999364,18.51000000000000
2025-09-02 05:56:12,0.12442864398172,18.63874400000059,0.08874400000059,18.55000000000000
2025-09-02 05:56:13,0.12500000000000,18.63776800000487,0.08776800000487,18.55000000000000
2025-09-02 05:56:14,0.13313462493790,18.59801300000050,0.08801300000050,18.51000000000000
2025-09-02 05:56:15,0.11400817995910,18.64746300000348,0.08746300000348,18.56000000000000
2025-09-02 05:56:16,0.11139369277721,18.72941600000253,0.08941600000253,18.64000000000000
2025-09-02 05:56:17,0.11376333164043,18.88880599999975,0.08880599999975,18.80000000000000
2025-09-02 05:56:18,0.12290502793296,19.72862299999601,0.08862299999601,19.64000000000000
2025-09-02 05:56:19,0.11878172588832,19.48807399999932,0.08807399999932,19.40000000000000
2025-09-02 05:56:20,0.11438739196746,19.48819599999697,0.08819599999697,19.40000000000000
2025-09-02 05:56:21,0.12392947103275,19.68813399999781,0.08813399999781,19.60000000000000
2025-09-02 05:56:22,0.13550000000000,19.56801300000050,0.08801300000050,19.48000000000000
2025-09-02 05:56:23,0.12935323383085,19.58837900000071,0.08837900000071,19.50000000000000
2025-09-02 05:56:24,0.12235649546828,18.77709700000327,0.08709700000327,18.69000000000000
2025-09-02 05:56:25,0.12462006079027,18.80825600000273,0.08825600000273,18.72000000000000
2025-09-02 05:56:26,0.15620291310899,18.71764599999995,0.08764599999995,18.63000000000000
2025-09-02 05:56:27,0.12481127327630,18.80740200000466,0.08740200000466,18.72000000000000
2025-09-02 05:56:28,0.13196186653287,18.84789000000252,0.08789000000252,18.76000000000000
2025-09-02 05:56:29,0.12165572942958,18.86660899999814,0.08660899999813,18.78000000000000
2025-09-02 05:56:31,0.12002017145739,18.91697500000562,0.08697500000562,18.83000000000000
2025-09-02 05:56:32,0.12273641851107,19.02770799999911,0.08770799999911,18.94000000000000
2025-09-02 05:56:33,0.12412761714855,19.75801199999289,0.08801199999289,19.67000000000000
2025-09-02 05:56:34,0.12330145948666,19.35770699999877,0.08770699999877,19.27000000000000
2025-09-02 05:56:35,0.12078510317061,19.02715800000209,0.08715800000209,18.94000000000000
2025-09-02 05:56:36,0.11670020120724,19.64685300000070,0.08685300000070,19.56000000000000
2025-09-02 05:56:37,0.12707182320442,18.96776899999793,0.08776899999793,18.88000000000000
2025-09-02 05:56:38,0.12255148166750,19.49850100000564,0.08850100000564,19.41000000000000
2025-09-02 05:56:39,0.12825651302605,19.55776800000487,0.08776800000487,19.47000000000000
2025-09-02 05:56:40,0.15469613259669,18.66727999999974,0.08727999999974,18.58000000000000
2025-09-02 05:56:41,0.12544080604534,18.74758500000113,0.08758500000113,18.66000000000000
2025-09-02 05:56:42,0.11989924433249,18.76648700000049,0.08648700000049,18.68000000000000
2025-09-02 05:56:43,0.12010050251256,18.76740199999738,0.08740199999738,18.68000000000000
2025-09-02 05:56:44,0.12281577633550,18.73880599999975,0.08880599999975,18.65000000000000
2025-09-02 05:56:45,0.12817955112219,18.73758500000113,0.08758500000113,18.65000000000000
2025-09-02 05:56:46,0.11563599798894,18.77636500000284,0.08636500000284,18.69000000000000
2025-09-02 05:56:47,0.12261306532663,19.67770699999877,0.08770699999877,19.59000000000000
2025-09-02 05:56:48,0.13478691774034,19.56624199999758,0.08624199999758,19.48000000000000
2025-09-02 05:56:49,0.12837162837163,19.49599900000263,0.08599900000263,19.41000000000000
2025-09-02 05:56:50,0.12166918049271,19.70691399999953,0.08691399999952,19.62000000000000
2025-09-02 05:56:51,0.11384152457372,19.27746299999621,0.08746299999621,19.19000000000000
2025-09-02 05:56:52,0.12729985082049,19.71703600000444,0.08703600000445,19.63000000000000
2025-09-02 05:56:53,0.11507537688442,19.11721900000092,0.08721900000091,19.03000000000000
2025-09-02 05:56:54,0.15027735753908,18.76709700000327,0.08709700000327,18.68000000000000
2025-09-02 05:56:55,0.11212121212121,18.79880599999975,0.08880599999975,18.71000000000000
2025-09-02 05:56:57,0.11497730711044,18.76734100000584,0.08734100000584,18.68000000000000
2025-09-02 05:56:58,0.12304589006556,18.75795200000168,0.08795200000168,18.67000000000000
2025-09-02 05:56:59,0.12600806451613,18.77691399999953,0.08691399999952,18.69000000000000
2025-09-02 05:57:00,0.12272727272727,19.05831799999461,0.08831799999462,18.97000000000000
2025-09-02 05:57:01,0.11901159858800,19.71813399999781,0.08813399999781,19.63000000000000
2025-09-02 05:57:02,0.12914572864322,19.23764599999995,0.08764599999995,19.15000000000000
2025-09-02 05:57:03,0.12967581047382,19.35642600000167,0.08642600000167,19.27000000000000
2025-09-02 05:57:04,0.11195542046606,19.36660899999814,0.08660899999813,19.28000000000000
2025-09-02 05:57:05,0.11268317331986,19.35813500000542,0.08813500000542,19.27000000000000
2025-09-02 05:57:06,0.11296016137166,19.56703600000445,0.08703600000445,19.48000000000000
2025-09-02 05:57:07,0.12192674360261,18.75703599999717,0.08703599999717,18.67000000000000
